begripCode;begripLabel;definitie
https://choosealicense.com/licenses/0bsd/;BSD Zero Clause License;Op het informatieobject is de BSD Zero Clause License van toepassing.
https://choosealicense.com/licenses/afl-3.0/;Academic Free License v3.0;Op het informatieobject is de Academic Free License v3.0 van toepassing.
https://choosealicense.com/licenses/agpl-3.0/;GNU Affero General Public License v3.0;Op het informatieobject is de GNU Affero General Public License v3.0 van toepassing.
https://choosealicense.com/licenses/apache-2.0;Apache License 2.0;Op het informatieobject is de Apache License 2.0 van toepassing.
https://choosealicense.com/licenses/artistic-2.0;Artistic License 2.0;Op het informatieobject is de Artistic License 2.0 van toepassing.
https://choosealicense.com/licenses/bsd-2-clause;"BSD 2-Clause ""Simplified"" License";"Op het informatieobject is de BSD 2-Clause ""Simplified"" License van toepassing."
https://choosealicense.com/licenses/bsd-3-clause-clear;BSD 3-Clause Clear License;Op het informatieobject is de BSD 3-Clause Clear License van toepassing.
https://choosealicense.com/licenses/bsd-3-clause;"BSD 3-Clause ""New"" or ""Revised"" License";"Op het informatieobject is de BSD 3-Clause ""New"" or ""Revised"" License van toepassing."
https://choosealicense.com/licenses/bsd-4-clause;"BSD 4-Clause ""Original"" or ""Old"" License";"Op het informatieobject is de BSD 4-Clause ""Original"" or ""Old"" License van toepassing."
https://choosealicense.com/licenses/bsl-1.0;Boost Software License 1.0;Op het informatieobject is de Boost Software License 1.0 van toepassing.
https://choosealicense.com/licenses/cecill-2.1;CeCILL Free Software License Agreement v2.1;Op het informatieobject is de CeCILL Free Software License Agreement v2.1 van toepassing.
https://choosealicense.com/licenses/ecl-2.0;Educational Community License v2.0;Op het informatieobject is de Educational Community License v2.0 van toepassing.
https://choosealicense.com/licenses/epl-1.0;Eclipse Public License 1.0;Op het informatieobject is de Eclipse Public License 1.0 van toepassing.
https://choosealicense.com/licenses/epl-2.0;Eclipse Public License 2.0;Op het informatieobject is de Eclipse Public License 2.0 van toepassing.
https://choosealicense.com/licenses/eupl-1.1;European Union Public License 1.1;Op het informatieobject is de European Union Public License 1.1 van toepassing.
https://choosealicense.com/licenses/eupl-1.2;European Union Public License 1.2;Op het informatieobject is de European Union Public License 1.2 van toepassing.
https://choosealicense.com/licenses/gpl-2.0;GNU General Public License v2.0;Op het informatieobject is de GNU General Public License v2.0 van toepassing.
https://choosealicense.com/licenses/gpl-3.0;GNU General Public License v3.0;Op het informatieobject is de GNU General Public License v3.0 van toepassing.
https://choosealicense.com/licenses/isc;ISC License;Op het informatieobject is de ISC License van toepassing.
https://choosealicense.com/licenses/lgpl-2.1;GNU Lesser General Public License v2.1;Op het informatieobject is de GNU Lesser General Public License v2.1 van toepassing.
https://choosealicense.com/licenses/lgpl-3.0;GNU Lesser General Public License v3.0;Op het informatieobject is de GNU Lesser General Public License v3.0 van toepassing.
https://choosealicense.com/licenses/lppl-1.3c;LaTeX Project Public License v1.3c;Op het informatieobject is de LaTeX Project Public License v1.3c van toepassing.
https://choosealicense.com/licenses/mit-0;MIT No Attribution;Op het informatieobject is de MIT No Attribution van toepassing.
https://choosealicense.com/licenses/mit;MIT License;Op het informatieobject is de MIT License van toepassing.
https://choosealicense.com/licenses/mpl-2.0;Mozilla Public License 2.0;Op het informatieobject is de Mozilla Public License 2.0 van toepassing.
https://choosealicense.com/licenses/ms-pl;Microsoft Public License;Op het informatieobject is de Microsoft Public License van toepassing.
https://choosealicense.com/licenses/ms-rl;Microsoft Reciprocal License;Op het informatieobject is de Microsoft Reciprocal License van toepassing.
https://choosealicense.com/licenses/mulanpsl-2.0;Mulan Permissive Software License, Version 2;Op het informatieobject is de Mulan Permissive Software License, Version 2 van toepassing.
https://choosealicense.com/licenses/ncsa;University of Illinois/NCSA Open Source License;Op het informatieobject is de University of Illinois/NCSA Open Source License van toepassing.
https://choosealicense.com/licenses/odbl-1.0;Open Data Commons Open Database License v1.0;Op het informatieobject is de Open Data Commons Open Database License v1.0 van toepassing.
https://choosealicense.com/licenses/ofl-1.1;SIL Open Font License 1.1;Op het informatieobject is de SIL Open Font License 1.1 van toepassing.
https://choosealicense.com/licenses/osl-3.0;Open Software License 3.0;Op het informatieobject is de Open Software License 3.0 van toepassing.
https://choosealicense.com/licenses/postgresql;PostgreSQL License;Op het informatieobject is de PostgreSQL License van toepassing.
https://choosealicense.com/licenses/unlicense;The Unlicense;Op het informatieobject is de The Unlicense van toepassing.
https://choosealicense.com/licenses/upl-1.0;Universal Permissive License v1.0;Op het informatieobject is de Universal Permissive License v1.0 van toepassing.
https://choosealicense.com/licenses/vim;Vim License;Op het informatieobject is de Vim License van toepassing.
https://choosealicense.com/licenses/wtfpl;Do What The F*ck You Want To Public License;Op het informatieobject is de Do What The F*ck You Want To Public License van toepassing.
https://choosealicense.com/licenses/zlib;zlib License;Op het informatieobject is de zlib License van toepassing.
